Dates,Index Level,Log Index Level
2017-01-01,0.9999999999999996,-1.9286549331065744e-16
2017-01-02,1.0181889808154827,0.007828392645410596
2017-01-03,1.035311088838573,0.015070865605481982
2017-01-04,1.1482489784932965,0.060036067732528564
2017-01-05,1.055548672114445,0.02347826373877091
2017-01-06,0.9945931814559638,-0.002354522447650829
2017-01-07,1.0042740401476344,0.0018522365983809131
2017-01-08,1.0259924816357313,0.011144178323479473
2017-01-09,1.021188609716613,0.009105962061697597
2017-01-10,1.0211168813795883,0.009075456125034832
2017-01-11,0.9199700088884756,-0.03622633046590843
2017-01-12,0.9747194004149113,-0.011120389830201083
2017-01-13,1.0117320469025584,0.005065506614056974
2017-01-14,1.0431056755839718,0.01832830842477379
2017-01-15,1.0567992312601966,0.023992488690899188
2017-01-16,1.0589508233499527,0.02487579236088541
2017-01-17,1.1052519220085766,0.04346127880703914
2017-01-18,1.1063226553168677,0.043881805981190715
2017-01-19,1.1324572699099842,0.054021824113207544
2017-01-20,1.1150184804277945,0.0472820654840024
2017-01-21,1.1238306065286252,0.050700855544509434
2017-01-22,1.123146522638523,0.05043641683353836
2017-01-23,1.1619042167745692,0.06517032784706864
2017-01-24,1.1259688200478926,0.05152636434424851
2017-01-25,1.1234052561942753,0.05053645152412679
2017-01-26,1.2092312067215023,0.08250934652104974
2017-01-27,1.1799674433132266,0.07187002477691234
2017-01-28,1.207352417166792,0.08183405592270303
2017-01-29,1.2551904055428493,0.09870961092008279
2017-01-30,1.2641462430676904,0.10179731831617633
2017-01-31,1.303590178533979,0.1151410797583066
2017-02-01,2.569279934955013,0.4098114252406462
2017-02-02,2.638202642503226,0.42130815100600116
2017-02-03,2.6680780628250425,0.4261985320504317
2017-02-04,2.735257213810202,0.4369981720903028
2017-02-05,2.6675671638231857,0.42611536287085944
2017-02-06,2.6639525594876416,0.4255264865132076
2017-02-07,2.7031890546831443,0.4318764202952741
2017-02-08,2.7022176163868257,0.4317203209222516
2017-02-09,2.5734866785001205,0.410521924492595
2017-02-10,2.5548557692785736,0.40736638769010936
2017-02-11,2.584008326432003,0.4122939087493803
2017-02-12,2.5487988945365987,0.40633557009517646
2017-02-13,2.527856222334721,0.40275236881035525
2017-02-14,2.558948675129979,0.40806157532393045
2017-02-15,2.5863530671535364,0.4126878108189444
2017-02-16,2.591004449655472,0.4134681588210847
2017-02-17,2.604456876309234,0.41571717093132404
2017-02-18,2.5651205202200367,0.40910777492030803
2017-02-19,2.566385127667434,0.40932182985271287
2017-02-20,2.5839370452620987,0.4122819283523256
2017-02-21,2.605330561172834,0.41586283388717177
2017-02-22,2.640061379963951,0.42161402409322535
2017-02-23,2.735979197839505,0.43711279103862716
2017-02-24,2.751043791884787,0.43949750366578055
2017-02-25,2.7085119853171027,0.4327307617048589
2017-02-26,2.7539619607150274,0.43995793724056637
2017-02-27,2.7957945292517175,0.44650525073203107
2017-02-28,2.789390507190542,0.4455093185851645
2017-03-01,4.161229101651507,0.6192216270748536
2017-03-02,4.369869168988302,0.6404684346736258
2017-03-03,4.464620259162886,0.6497845256291412
2017-03-04,4.312182094519403,0.6346970919224647
2017-03-05,4.429195581143533,0.646324857962794
2017-03-06,4.494212931836168,0.6526536450592426
2017-03-07,4.43138817761389,0.6465397947194409
2017-03-08,4.021146390750681,0.6043498839802913
2017-03-09,4.273193892961734,0.6307525990500364
2017-03-10,4.253905815113923,0.6287878700450547
2017-03-11,4.650641828496197,0.6675128933929448
2017-03-12,5.0644304894137395,0.7045306147088796
2017-03-13,5.602210333002701,0.7483594102261478
2017-03-14,5.65406266218786,0.7523606173285289
2017-03-15,6.439518154877202,0.8088533719394797
2017-03-16,7.25600845492672,0.8606977801057709
2017-03-17,7.120241071852006,0.8524946979068965
2017-03-18,6.083023729869336,0.7841195106485566
2017-03-19,7.17916977288251,0.8560742236429262
2017-03-20,7.062269235690195,0.8489442702004191
2017-03-21,7.123036508003852,0.8526651702583676
2017-03-22,7.0475916823062335,0.8480407343287684
2017-03-23,7.260764980943023,0.8609823795844306
2017-03-24,7.768342073209275,0.8903283411579647
2017-03-25,7.893472801365332,0.8972681168525365
2017-03-26,8.275439447879274,0.9177910652539976
2017-03-27,7.934802010369027,0.8995360946854531
2017-03-28,8.403952593322972,0.9244835938866626
2017-03-29,8.548264818374653,0.9318779677944832
2017-03-30,8.516282892828713,0.9302500793461231
2017-03-31,8.50231313043698,0.9295370954930978
2017-04-01,13.712336689065333,1.1371114682611552
2017-04-02,13.57575408551003,1.1327639624656813
2017-04-03,13.101635191838762,1.1173255025621767
2017-04-04,13.068519586799159,1.1162263931123866
2017-04-05,13.168677303654817,1.1195421554802276
2017-04-06,13.065689884676733,1.1161323459575765
2017-04-07,12.786146590423908,1.1067396792193267
2017-04-08,13.297101658718661,1.1237569890274652
2017-04-09,13.253819970392872,1.1223410671758602
2017-04-10,13.244040095269407,1.1220204868737407
2017-04-11,13.367244352232525,1.1260418869952018
2017-04-12,13.762673629109894,1.1387028110489208
2017-04-13,14.151587681276188,1.150805166541353
2017-04-14,13.961986668429049,1.1449472189854812
2017-04-15,14.525412953154698,1.1621284881003722
2017-04-16,14.612057159382218,1.1647113624144843
2017-04-17,14.589953035208618,1.164053893909725
2017-04-18,14.981728857976,1.175561932866455
2017-04-19,14.870986876960618,1.1723397903778154
2017-04-20,15.065929977138111,1.1779959446037214
2017-04-21,14.926397316487302,1.1739549976529582
2017-04-22,15.009697771817827,1.1763719475828278
2017-04-23,15.041563696017684,1.1772929871366964
2017-04-24,15.545634649284889,1.1916084567784462
